threshold,truePositive,trueNegative,falsePositive,falseNegative,accuracy,precision,recall,specificity,falsePositiveRate,f1Score,mcc
0.2500,4327,340,4106,119,0.5249,0.5131,0.9732,0.0765,0.9235,0.6719,0.1123
0.4000,3032,3162,1284,1414,0.6966,0.7025,0.6820,0.7112,0.2888,0.6921,0.3933
0.5000,2581,3669,777,1865,0.7029,0.7686,0.5805,0.8252,0.1748,0.6615,0.4185
0.6000,2151,3990,456,2295,0.6906,0.8251,0.4838,0.8974,0.1026,0.6100,0.4187
0.7000,1844,4149,297,2602,0.6740,0.8613,0.4148,0.9332,0.0668,0.5599,0.4069
0.8000,1493,4255,191,2953,0.6464,0.8866,0.3358,0.9570,0.0430,0.4871,0.3737
0.9000,774,4368,78,3672,0.5783,0.9085,0.1741,0.9825,0.0175,0.2922,0.2659
0.9500,232,4432,14,4214,0.5245,0.9431,0.0522,0.9969,0.0031,0.0989,0.1495
