threshold,truePositive,trueNegative,falsePositive,falseNegative,accuracy,precision,recall,specificity,falsePositiveRate,f1Score,mcc
0.2500,3287,19228,4136,3349,0.7505,0.4428,0.4953,0.8230,0.1770,0.4676,0.3062
0.4000,1664,22294,1070,4972,0.7986,0.6086,0.2508,0.9542,0.0458,0.3552,0.2956
0.5000,1225,22712,652,5411,0.7979,0.6526,0.1846,0.9721,0.0279,0.2878,0.2685
0.6000,792,23055,309,5844,0.7949,0.7193,0.1193,0.9868,0.0132,0.2047,0.2343
0.7000,386,23229,135,6250,0.7872,0.7409,0.0582,0.9942,0.0058,0.1079,0.1665
0.8000,104,23329,35,6532,0.7811,0.7482,0.0157,0.9985,0.0015,0.0307,0.0866
0.9000,38,23350,14,6598,0.7796,0.7308,0.0057,0.9994,0.0006,0.0114,0.0512
0.9500,25,23356,8,6611,0.7794,0.7576,0.0038,0.9997,0.0003,0.0075,0.0429
